report_title,date,fuel,from_time,to_time,duration_hours,actual_generation_mw,relief_mw,curtailed_mwh,curtailed_twh,reason,extraction_method,confidence,source_page,notes,source_url
Curtailment_RE_Power_march 2026,2026-03-12,solar,10:45,11:45,1.0000,5735.000,10.000,10.000,0.000010000,Due to overloading of 132 KV PS3-PS4 Line,manual_from_scanned_pdf,medium,13,Source is image-only under pdftotext; values transcribed from rendered page 13.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-15,solar,10:45,13:05,2.3333,6968.000,71.200,166.133,0.000166133,Due to overloading 220 KV Bikaner-Gajner I&II and ICT's at Bikaner,manual_from_scanned_pdf,medium,16,Source is image-only under pdftotext; values transcribed from rendered page 16.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-16,solar,12:20,13:18,0.9667,7577.000,103.000,99.567,0.000099567,Due to overloading of 400 KV Bhadla ICTs,manual_from_scanned_pdf,medium,17,Source is image-only under pdftotext; values transcribed from rendered page 17.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-16,solar,11:25,13:33,2.1333,7505.000,75.000,160.000,0.000160000,Due to over loading at 400 KV Bikaner ICTs,manual_from_scanned_pdf,medium,17,Source is image-only under pdftotext; values transcribed from rendered page 17.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-16,solar,11:25,13:33,2.1333,7505.000,75.000,160.000,0.000160000,Due to over loading at 400 KV Bikaner ICTs,manual_from_scanned_pdf,medium,17,Source is image-only under pdftotext; values transcribed from rendered page 17.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_march 2026,2026-03-16,solar,11:25,13:33,2.1333,7505.000,75.000,160.000,0.000160000,Due to over loading at 400 KV Bikaner ICTs,manual_from_scanned_pdf,medium,17,Source is image-only under pdftotext; values transcribed from rendered page 17.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69bb7d2788216_Curtailment_RE_Power_march2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-29,solar,10:41,14:50,4.1500,6530.000,58.000,240.700,0.000240700,overloading 220 KV BIKANER - GAJNER LINE 1&2,manual_from_scanned_pdf,medium,1,Source is image-only under pdftotext; values transcribed from rendered page 1.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-29,solar,11:20,14:44,3.4000,6741.000,105.000,357.000,0.000357000,DUE TO OVERLOADING OF BHADLA ICT'S,manual_from_scanned_pdf,medium,1,Source is image-only under pdftotext; values transcribed from rendered page 1.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-30,solar,11:09,14:43,3.5667,6542.000,60.000,214.000,0.000214000,overloading 220 KV BIKANER - GAJNER LINE 1&2,manual_from_scanned_pdf,medium,2,Source is image-only under pdftotext; values transcribed from rendered page 2.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_29 & 30 April 2026,2026-04-30,solar,11:28,14:51,3.3833,6642.000,110.000,372.167,0.000372167,DUE TO OVERLOADING OF BHADLA ICT'S,manual_from_scanned_pdf,medium,2,Source is image-only under pdftotext; values transcribed from rendered page 2; handwritten end time read as 14:51.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f58110e42f3_Curtailment_RE_Power_29&30April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,09:03,11:07,2.0667,4659.000,495.000,1023.000,0.001023000,Heavy underdrawl & high frequency (OP/04/149),pdf_text_monthly_summary,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
