utc_timestamp,eolica_mw,fotovoltaica_mw,hidraulica_mw,biocombustible_mw
2026-06-16T08:55:00Z,3683.68,0,128.83,160.06
2026-06-16T09:00:00Z,3678.74,0,128.88,159.79
2026-06-16T09:05:00Z,3674.59,0,129.15,161.94
2026-06-16T09:10:00Z,3681.05,0,129.23,160.44
2026-06-16T09:15:00Z,3672.03,0,129.01,161.39
2026-06-16T09:20:00Z,3659.92,0,129.03,160.19
2026-06-16T09:25:00Z,3655.8,0,128.71,161.33
2026-06-16T09:30:00Z,3638.48,0,129.21,162.16
2026-06-16T09:35:00Z,3614.12,0,129.26,163.59
2026-06-16T09:40:00Z,3593.84,0,128.79,165.67
2026-06-16T09:45:00Z,3592.65,0,128.98,167.22
2026-06-16T09:50:00Z,3562.12,0,129.09,167.32
2026-06-16T09:55:00Z,3559.87,0,129.57,167.96
2026-06-16T10:00:00Z,3540.93,0,128.74,170.61
2026-06-16T10:05:00Z,3515.94,0,128.95,168.25
2026-06-16T10:10:00Z,3503.19,0,129.24,169.66
2026-06-16T10:15:00Z,3494.12,0,128.33,168.11
2026-06-16T10:20:00Z,3477.19,0,128.86,168.79
2026-06-16T10:25:00Z,3456.24,0,128.84,168.23
2026-06-16T10:30:00Z,3425.3,0,128.97,168.98
2026-06-16T10:35:00Z,3387.37,0,128.86,169.58
2026-06-16T10:40:00Z,3381.6,0,128.71,169.06
2026-06-16T10:45:00Z,3383.09,0,129.04,160.59
2026-06-16T10:50:00Z,3363.68,0,128.8,158.83
2026-06-16T10:55:00Z,3355.56,0,128.66,160.62
2026-06-16T11:00:00Z,3344.07,0,128.92,161.44
2026-06-16T11:05:00Z,3327.9,2.11,129.21,159.43
2026-06-16T11:10:00Z,3320.73,4.61,128.64,163.1
2026-06-16T11:15:00Z,3322.76,9.53,128.59,158.97
2026-06-16T11:20:00Z,3341.84,18.92,128.54,163.88
2026-06-16T11:25:00Z,3329.9,34.0,129.07,164.02
2026-06-16T11:30:00Z,3356.14,46.06,129.34,165.69
2026-06-16T11:35:00Z,3349.46,65.29,128.91,165.61
2026-06-16T11:40:00Z,3350.58,95.15,129.13,166.28
2026-06-16T11:45:00Z,3340.35,135.18,129.08,167.52
2026-06-16T11:50:00Z,3337.64,180.09,128.91,172.82
2026-06-16T11:55:00Z,3316.75,229.63,128.92,173.08
2026-06-16T12:00:00Z,3316.55,266.58,128.88,174.56
2026-06-16T12:05:00Z,3308.04,342.25,129.41,175.43
2026-06-16T12:10:00Z,3289.5,416.85,128.65,181.15
2026-06-16T12:15:00Z,3283.17,480.76,128.81,182.37
2026-06-16T12:20:00Z,3277.89,525.57,128.55,185.32
2026-06-16T12:25:00Z,3229.4,599.82,128.96,185.13
2026-06-16T12:30:00Z,3224.06,658.08,128.84,186.05
2026-06-16T12:35:00Z,3196.78,742.78,128.64,188.47
2026-06-16T12:40:00Z,3168.81,796.69,128.9,192.17
2026-06-16T12:45:00Z,3153.51,880.83,128.61,190.27
2026-06-16T12:50:00Z,3133.65,979.12,128.74,193.42
2026-06-16T12:55:00Z,3122.3,1035.77,128.57,194.27
2026-06-16T13:00:00Z,3104.09,1085.48,128.47,194.53
2026-06-16T13:05:00Z,3090.92,1121.33,128.33,194.42
2026-06-16T13:10:00Z,3080.07,1176.77,128.49,195.04
2026-06-16T13:15:00Z,3057.61,1234.73,128.42,198.07
2026-06-16T13:20:00Z,2999.64,1361.23,128.43,196.23
2026-06-16T13:25:00Z,2943.99,1362.83,128.18,196.88
2026-06-16T13:30:00Z,2881.95,1472.96,127.72,195.1
2026-06-16T13:35:00Z,2804.78,1536.97,128.12,198.29
2026-06-16T13:40:00Z,2744.49,1503.78,128.12,196.48
2026-06-16T13:45:00Z,2685.21,1464.35,128.86,200.19
2026-06-16T13:50:00Z,2619.16,1476.21,128.86,197.97
2026-06-16T13:55:00Z,2551.99,1514.92,128.71,198.03
2026-06-16T14:00:00Z,2499.88,1451.37,128.76,200.45
2026-06-16T14:05:00Z,2434.93,1567.44,128.47,198.16
2026-06-16T14:10:00Z,2417.01,1607.13,128.49,198.07
2026-06-16T14:15:00Z,2387.59,1642.91,130.47,201.44
2026-06-16T14:20:00Z,2368.78,1651.63,138.87,205.33
2026-06-16T14:25:00Z,2323.01,1627.54,139.0,204.24
2026-06-16T14:30:00Z,2275.87,1654.55,139.02,204.14
2026-06-16T14:35:00Z,2263.09,1715.04,139.43,202.77
2026-06-16T14:40:00Z,2240.55,1711.68,139.3,205.18
2026-06-16T14:45:00Z,2215.34,1692.53,139.89,208.31
2026-06-16T14:50:00Z,2168.24,1698.2,139.31,208.15
2026-06-16T14:55:00Z,2106.94,1734.42,139.5,206.6
2026-06-16T15:00:00Z,2110.86,1693.41,139.61,207.76
2026-06-16T15:05:00Z,2074.2,1673.27,139.24,207.56
2026-06-16T15:10:00Z,2066.06,1640.34,139.56,206.6
2026-06-16T15:15:00Z,2052.33,1622.36,140.07,206.29
2026-06-16T15:20:00Z,2047.11,1683.19,139.93,207.36
2026-06-16T15:25:00Z,2041.12,1722.26,139.91,208.91
2026-06-16T15:30:00Z,2035.91,1652.53,139.85,208.61
2026-06-16T15:35:00Z,2042.56,1669.64,140.92,207.79
2026-06-16T15:40:00Z,2028.5,1634.96,140.92,205.9
2026-06-16T15:45:00Z,1999.93,1644.64,141.31,206.18
2026-06-16T15:50:00Z,1993.72,1634.94,141.03,205.33
2026-06-16T15:55:00Z,1982.16,1596.77,143.66,205.01
2026-06-16T16:00:00Z,1947.77,1573.85,143.08,205.99
2026-06-16T16:05:00Z,1961.9,1570.2,142.57,206.93
2026-06-16T16:10:00Z,1947.76,1565.79,141.79,203.37
2026-06-16T16:15:00Z,1942.3,1555.86,144.31,205.66
2026-06-16T16:20:00Z,1933.2,1568.82,144.75,201.32
2026-06-16T16:25:00Z,1893.33,1620.04,144.81,203.55
2026-06-16T16:30:00Z,1870.51,1632.81,144.79,203.44
2026-06-16T16:35:00Z,1843.33,1697.2,144.85,204.73
2026-06-16T16:40:00Z,1800.78,1613.06,144.95,206.95
2026-06-16T16:45:00Z,1765.49,1569.06,144.54,205.53
2026-06-16T16:50:00Z,1776.68,1559.69,144.76,206.7
2026-06-16T16:55:00Z,1757.94,1585.02,144.37,206.3
2026-06-16T17:00:00Z,1765.98,1616.99,144.09,206.25
2026-06-16T17:05:00Z,1817.85,1584.6,144.13,207.01
2026-06-16T17:10:00Z,1816.47,1567.78,144.82,208.28
2026-06-16T17:15:00Z,1797.3,1549.33,144.47,206.98
2026-06-16T17:20:00Z,1785.85,1552.75,144.19,207.56
2026-06-16T17:25:00Z,1769.7,1588.5,144.39,207.11
2026-06-16T17:30:00Z,1798.03,1560.64,144.62,207.48
2026-06-16T17:35:00Z,1805.47,1607.13,143.96,207.56
2026-06-16T17:40:00Z,1798.21,1592.23,144.19,206.22
2026-06-16T17:45:00Z,1774.41,1560.98,144.46,207.12
2026-06-16T17:50:00Z,1780.35,1607.56,143.83,206.24
2026-06-16T17:55:00Z,1704.09,1672.26,143.54,207.43
2026-06-16T18:00:00Z,1692.37,1631.96,144.27,208.88
2026-06-16T18:05:00Z,1684.35,1661.97,144.73,207.54
2026-06-16T18:10:00Z,1637.58,1645.24,144.28,206.11
2026-06-16T18:15:00Z,1604.15,1540.2,144.5,205.2
